age	marital	address	income	inccat	car	carcat	ed	employ	retire	empcat	gender	reside	wireless	multline	voice	pager	internet	callid	callwait	owntv	ownvcr	owncd	ownpda	ownpc	ownfax	news	response
47	0	21	181	4	90	3	2	21	0	3	f	3	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1
41	0	13	79	4	39	3	3	16	0	3	m	1	1	0	0	0	1	0	1	1	1	1	0	1	0	1	1
48	0	29	144	4	71	3	2	14	0	2	f	1	0	1	1	0	1	0	0	1	1	1	0	1	0	0	1
29	1	4	22	1	11	1	4	0	0	1	m	3	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1
32	0	0	25	2	12	1	1	13	0	2	m	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1
30	0	1	51	3	26	2	1	14	0	2	f	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1
53	0	34	136	4	66	3	4	21	0	3	f	1	1	1	1	0	0	0	0	1	1	1	0	1	1	0	1
58	0	27	385	4	78	3	2	34	0	3	m	2	1	1	1	0	1	0	1	1	1	1	0	0	0	0	1
26	0	6	41	2	20	2	2	0	0	1	m	3	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
25	1	6	23	1	11	1	4	0	0	1	m	5	1	0	0	0	0	1	0	1	1	1	0	0	1	0	1
51	1	20	78	4	38	3	2	14	0	2	f	5	0	1	0	1	1	1	0	1	1	1	0	1	0	0	1
62	1	5	49	2	25	2	2	7	0	2	f	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1
46	0	7	83	4	40	3	2	14	0	2	f	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1
32	1	13	45	2	22	2	2	7	0	2	m	4	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1
50	1	3	40	2	21	2	4	1	0	1	m	6	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1
30	1	1	30	2	15	1	2	9	0	2	m	4	0	1	1	0	0	0	0	1	1	1	0	1	0	0	1
54	0	21	39	2	19	2	1	7	0	2	f	1	0	1	1	0	0	1	0	1	1	1	0	1	0	0	1
29	1	3	76	4	38	3	4	4	0	1	f	2	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1
44	1	13	74	3	37	3	2	12	0	2	f	2	1	1	0	1	8	1	1	1	1	1	0	0	0	1	1
23	0	0	24	1	12	1	4	0	0	1	m	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1
35	0	7	56	3	28	2	4	1	0	1	f	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1
24	0	5	22	1	11	1	2	0	0	1	m	2	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1
49	1	21	117	4	58	3	3	16	0	3	f	5	1	1	1	0	1	0	0	1	1	1	0	1	0	0	1
51	1	1	130	4	65	3	5	18	0	3	f	3	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1
32	0	1	26	2	13	1	3	7	0	2	m	2	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1
56	1	1	36	2	18	2	1	13	0	2	m	2	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1
38	1	14	48	2	22	2	3	1	0	1	f	6	1	1	0	0	0	0	0	1	1	1	0	0	1	0	1
61	1	8	11	1	5	1	2	14	1	2	m	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
55	0	13	188	4	94	3	2	33	0	3	m	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	1
48	1	3	25	2	13	1	4	5	0	2	f	2	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1
51	1	2	48	2	24	2	3	7	0	2	m	3	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0
20	1	0	19	1	10	1	2	1	0	1	m	8	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1
68	1	23	22	1	11	1	2	24	1	3	m	2	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1
46	0	23	31	2	15	2	1	11	0	2	f	1	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1
35	1	15	59	3	31	3	2	3	0	1	m	4	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1
23	0	3	13	1	6	1	2	1	0	1	m	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	1
72	0	49	23	1	12	1	4	11	1	2	f	1	1	1	0	1	0	1	0	1	1	1	0	1	0	0	0
21	1	2	17	1	9	1	2	0	0	1	m	4	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1
57	1	24	181	4	90	3	3	14	0	2	f	2	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1
36	0	2	40	2	19	2	4	8	0	2	m	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1
61	0	17	837	4	76	3	2	42	0	3	m	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1
27	1	8	43	2	21	2	4	0	0	1	m	4	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1
44	0	15	100	4	50	3	1	27	0	3	m	3	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1
43	1	5	144	4	73	3	1	24	0	3	m	2	0	0	1	1	0	1	1	1	1	1	0	0	0	1	1
32	0	12	54	3	27	2	2	6	0	2	m	2	0	1	0	0	1	0	1	1	1	1	1	0	0	0	1
28	1	7	86	4	42	3	5	0	0	1	f	2	1	0	0	0	0	1	1	1	1	1	0	1	0	1	1
27	0	0	25	2	12	1	2	1	0	1	f	2	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1
46	1	23	34	2	17	2	1	14	0	2	m	6	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0
51	0	13	51	3	26	2	2	14	0	2	f	3	1	0	0	0	0	0	1	1	1	1	0	1	0	1	1
21	0	0	25	2	13	1	3	0	0	1	f	3	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1
38	0	3	29	2	15	1	1	5	0	2	f	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0
41	0	1	69	3	35	3	2	18	0	3	m	2	1	0	0	0	1	0	1	1	1	1	0	1	0	0	1
47	0	22	232	4	73	3	3	22	0	3	f	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1
37	0	18	46	2	23	2	1	19	0	3	f	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1
51	1	12	32	2	16	2	3	2	0	1	f	4	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0
48	1	16	29	2	15	1	4	19	0	3	m	4	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1
41	1	10	67	3	33	3	2	21	0	3	f	2	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1
27	0	6	31	2	16	2	2	9	0	2	f	3	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0
24	0	5	13	1	6	1	2	2	0	1	m	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1
30	1	8	38	2	19	2	2	3	0	1	m	4	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1
39	0	15	35	2	17	2	3	6	0	2	m	1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1
38	1	14	29	2	14	1	4	7	0	2	f	2	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1
45	0	12	70	3	35	3	3	11	0	2	f	2	1	1	0	0	1	1	0	1	1	1	0	0	0	0	1
44	1	24	25	2	12	1	1	1	0	1	f	3	0	0	0	1	1	1	0	1	1	1	0	0	0	1	1
38	0	12	24	1	12	1	2	6	0	2	m	3	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1
32	0	7	25	2	13	1	4	4	0	1	f	2	0	1	1	0	1	0	0	1	1	1	0	1	0	1	1
35	0	7	37	2	19	2	3	9	0	2	m	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0
58	1	19	19	1	9	1	2	3	0	1	m	2	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1
31	1	10	27	2	13	1	1	8	0	2	m	4	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1
43	1	21	107	4	54	3	2	15	0	3	m	2	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0
38	1	18	77	4	38	3	2	16	0	3	f	4	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1
64	0	40	16	1	8	1	1	25	1	3	f	1	1	1	0	1	1	1	0	1	1	1	0	1	0	0	1
62	0	21	17	1	9	1	3	16	1	3	f	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1
44	0	13	104	4	52	3	2	11	0	2	f	3	0	1	0	0	0	0	1	1	1	1	0	0	1	1	1
41	1	9	25	2	13	1	2	2	0	1	f	4	1	1	0	1	1	1	0	1	1	1	0	0	0	0	1
26	1	7	15	1	8	1	1	0	0	1	m	3	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0
48	0	27	371	4	79	3	4	20	0	3	f	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1
76	0	51	24	1	12	1	4	25	1	3	f	1	1	1	1	0	1	0	0	1	1	1	0	1	0	0	1
60	1	18	355	4	78	3	3	28	0	3	m	4	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1
26	1	0	20	1	10	1	1	4	0	1	m	3	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1
53	1	30	42	2	22	2	4	2	0	1	m	2	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1
59	1	37	30	2	14	1	2	8	1	2	m	2	0	1	1	0	0	0	0	1	1	1	0	1	0	0	1
45	0	3	86	4	41	3	2	19	0	3	f	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1
23	1	2	27	2	13	1	2	3	0	1	f	5	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1
66	1	32	11	1	6	1	1	5	1	2	f	2	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1
49	0	4	30	2	15	1	1	1	0	1	m	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	1
45	0	1	147	4	73	3	3	18	0	3	m	1	1	0	0	0	1	1	0	1	1	1	0	1	0	1	1
31	1	3	58	3	30	2	3	8	0	2	f	7	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1
42	1	23	61	3	30	2	4	9	0	2	f	4	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1
63	1	19	54	3	27	2	3	41	1	3	m	2	0	1	1	1	0	0	0	1	1	1	0	0	0	0	1
27	0	5	24	1	12	1	4	1	0	1	f	1	1	1	0	0	1	0	1	1	0	0	1	1	0	1	1
35	0	4	38	2	19	2	2	7	0	2	f	1	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0
22	0	3	32	2	16	2	1	6	0	2	m	3	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1
55	0	22	298	4	79	3	4	28	0	3	m	3	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1
63	0	43	11	1	5	1	1	19	1	3	m	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1
40	1	21	61	3	31	3	3	12	0	2	m	6	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1
50	1	16	30	2	15	1	2	17	0	3	f	4	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0
52	0	32	288	4	72	3	1	31	0	3	m	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1
57	1	38	290	4	68	3	2	32	0	3	f	2	0	1	1	1	0	1	1	1	1	1	0	0	1	0	1
23	1	1	26	2	13	1	4	0	0	1	f	3	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1
46	1	2	121	4	61	3	3	24	0	3	f	4	1	0	0	1	1	0	0	1	1	1	1	0	0	1	1
35	1	13	106	4	53	3	5	4	0	1	f	2	0	1	0	0	1	0	0	1	1	1	0	0	0	1	1
48	1	4	42	2	20	2	3	7	0	2	m	3	0	0	1	1	0	1	1	1	1	1	0	0	0	1	1
40	0	1	331	4	71	3	4	13	0	2	m	2	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
27	0	3	108	4	52	3	5	1	0	1	m	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1
44	1	22	202	4	69	3	2	23	0	3	m	3	1	1	0	0	8	1	1	1	1	1	0	1	0	0	1
51	1	20	161	4	80	3	3	20	0	3	f	3	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1
36	1	11	18	1	9	1	5	1	0	1	m	4	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1
27	0	4	23	1	11	1	3	4	0	1	m	3	1	1	0	0	0	0	0	1	1	1	0	0	0	1	1
48	0	11	81	4	39	3	2	19	0	3	m	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	1
38	0	12	40	2	20	2	2	18	0	3	m	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1
47	0	9	65	3	33	3	1	22	0	3	m	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1
39	0	15	32	2	16	2	2	10	0	2	m	1	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1
48	0	8	162	4	82	3	4	22	0	3	f	1	1	1	1	0	1	1	0	1	1	1	0	1	0	0	1
40	1	9	27	2	14	1	4	5	0	2	f	5	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1
47	0	9	26	2	13	1	2	5	0	2	m	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1
24	0	2	18	1	9	1	2	0	0	1	m	2	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1
49	0	15	175	4	89	3	5	11	0	2	f	2	0	1	1	0	0	0	0	1	1	1	0	1	0	1	1
55	0	5	60	3	29	2	1	12	0	2	m	1	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0
24	0	0	19	1	9	1	3	0	0	1	m	3	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1
41	1	13	204	4	77	3	2	20	0	3	f	2	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1
35	0	1	37	2	19	2	4	5	0	2	f	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1
30	0	1	39	2	20	2	4	4	0	1	f	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1
45	1	25	46	2	23	2	4	8	0	2	m	2	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
34	1	2	40	2	19	2	5	6	0	2	f	4	0	1	0	0	0	1	0	1	1	1	0	1	0	1	1
44	1	22	47	2	24	2	2	10	0	2	f	2	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0
59	0	26	530	4	77	3	2	38	0	3	f	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1
23	0	3	19	1	9	1	4	0	0	1	f	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1
39	1	0	150	4	75	3	4	12	0	2	f	2	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1
52	0	0	25	2	13	1	2	6	0	2	f	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1
54	0	8	47	2	24	2	4	7	0	2	f	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1
42	1	1	207	4	80	3	3	14	0	2	f	4	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1
49	1	6	60	3	30	3	5	7	0	2	f	5	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1
